Name,Screen Size,Screen Type,Resolution,3D,HDR
LG 105UC9 Curved Smart LED TV 105 Inch,105,LED,5K,1,0
Panasinic TH-75EX750R Smart LED TV 75 Inch,75,LED,Ultra HD - 4K,1,0
Sony KDL-50W800C BRAVIA Smart LED TV 50 Inch,50,LED,Full HD,1,0
TCL 55E5700 Smart LED TV 55 Inch,55,LED,Ultra HD - 4K,1,0
Samsung 55HUC9990 Curved Smart LED TV 55 Inch,55,LED,Ultra HD - 4K,1,0
X.Vision 55XTU625 Smart LED TV 55 Inch,55,LED,Ultra HD - 4K,0,1
Samsung 82NU8900 Smart LED TV 82 Inch,82,LED,Ultra HD - 4K,0,1
LG OLED55C8GI Smart TV 55 Inch,55,OLED,Ultra HD - 4K,0,1
Samsung 65Q7770 Smart QLED TV 65 Inch,65,QLED,Ultra HD - 4K,0,1
SHARP LC-40SA5200X LED TV 40 INCH,40,LED,FUll HD,0,0
Snowa SLD-49S37BLDT2 LED TV 49 Inch,49,LED,FUll HD,0,0
Sony KD-55X7000G LCD Smart TV 55 Inch,55,LCD,Ultra HD - 4K,0,0
Shahab 24SH81N1 LED TV 24 Inch,24,LED,HD,0,0
